Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,City,State,Zipcode,,,
FY 2012,5/19/12,5/16/12,Gulf Coast Machine & Supply Company, Beaumont,TX,77705,,,Worker performing maintenance on an electrical panel was electrocuted.
FY 2012,8/18/12,8/14/12,Mason Construction Ltd., Beaumont,TX,77707,,,Worker laying pipe inside a trench was killed when another pipe fell on the worker.
FY 2012,10/8/11,10/5/11,All Tree, Brenham,TX,77833,,,Worker using a pole saw to trim trees was electrocuted when the saw touched a powerline.
FY 2012,2/25/12,2/20/12,CSI Acquistion Co., Three Rivers,TX,78022,,,Worker died when caught between a tractor and a trailer while hooking them together.
FY 2012,2/4/12,1/11/12,Tubal Cain Industries Inc., Laredo,TX,78040,,,Hydraulic system blew back striking worker on the head.
FY 2012,1/28/12,1/23/12,Air Equipment Rental, Tilden,TX,78072,,,"Worker was working at the base of an oil rig when a valve separated from piping, fell and struck the worker."
FY 2012,6/23/12,6/14/12,Camino Agave Inc., Yorktown,TX,78164,,,Worker hydrotesting two pipelines was struck and killed by the pressure testing equipment.
FY 2012,5/5/12,3/28/12,Indus Construction LP, San Antonio,TX,78210,,,Bridge worker installing rebar was killed after falling 18 feet.
FY 2012,4/14/12,4/3/12,Spectrum Painting, San Antonio,TX,78216,,,"Worker was found laying semi-conscious, three feet from a ladder. He later died at the hospital."
FY 2012,1/7/12,1/3/12,Certifit, San Antonio,TX,78218,,,Worker was struck and killed by a commercial vehicle near the delivery ramp.
FY 2012,7/28/12,7/25/12,Elias Ovalle-Gonzalez, San Antonio,TX,78218,,,Worker died of an apparent fall from a scaffold.
FY 2012,9/15/12,9/10/12,Stagg LLC, San Antonio,TX,78230,,,Employee died after slipping on a wet floor.
FY 2012,6/9/12,6/4/12,Williams Brothers Construction Company Inc., San Antonio,TX,78232,,,Worker installing metal decking on a highway under construction died after falling 50 feet.
FY 2012,1/14/12,1/6/12,Fry Roofing, San Antonio,TX,78266,,,Worker repairing a roof died after he fell approximately 25 feet to the concrete ground.
FY 2012,6/9/12,6/5/12,H & H Iron and Metal Inc., Corpus Christi,TX,78405,,,Worker at a scrap metal facility was crushed between a vehicle and an industrial machine.
FY 2012,7/14/12,7/13/12,RM Walsdorf Inc., Brownsville,TX,78521,,,"Worker performing maintenance work on a paving machine was crushed when the hydraulic line gave way, causing the machine to fall."
FY 2012,9/8/12,9/4/12,Mullen Electric Co., Kyle,TX,78640,,,Employee repairing a lamp died after falling from a ladder and hitting his head.
FY 2012,7/7/12,6/23/12,Obayashi Corporation, Austin,TX,78726,,,Worker removing concrete at a construction site died after collapsing.
FY 2012,3/24/12,3/13/12,Shelter Design and Construction, Lakeway,TX,78734,,,Worker repairing a second-floor window died after falling 11 feet to the concrete slab.
FY 2012,7/7/12,6/24/12,Samsung Austin Semiconductor LLC, Austin,TX,78754,,,Worker was found laying face down in the doorway of the stairs.
FY 2012,3/10/12,3/6/12,Berlanga General Painting, Eagle Pass,TX,78852,,,Worker using an aerial lift to paint air ducts died after falling nearly 30 feet from a catwalk.
FY 2012,12/10/11,12/6/11,DNH Hedging, Eagle Pass,TX,78852,,,Worker died after being struck by a tree-pruning machine he was repairing.
FY 2012,5/5/12,4/30/12,ConocoPhillips, Borger,TX,79008,,,Worker installing hydraulics at a silo chute died from a 20-foot fall when the chute moved to a vertical position.
FY 2012,9/22/12,9/23/12,Archer Underbalanced Services, Boys Ranch,TX,79010,,,Worker was killed while repairing an air compressor after a 2-inch line separated and struck employee in the chest.
FY 2012,9/29/12,9/23/12,Archer Underbalanced Services, Boys Ranch,TX,79010,,,Worker was killed while repairing an air compressor after a 2-inch line separated and struck employee in the chest.
FY 2012,4/21/12,3/30/12,ABM Security Services, Cactus,TX,79013,,,"Worker monitoring a gate while unloading cattle was killed when a male cattle charged the gate, causing the gate to hit the worker."
FY 2012,6/2/12,5/20/12,15 Black LLC, Hartley,TX,79044,,,Worker making repairs to an irrigation system was electrocuted.
FY 2012,1/28/12,1/23/12,B&G Electrical, Kingsmill,TX,79066,,,"Worker was working in a bucket truck 20 feet high, replacing old power lines to new lines and collapsed in the truck."
FY 2012,9/15/12,9/10/12,K&S Parrott LLC, Amarillo,TX,79104,,,Worker fatally kicked by cattle during off-loading from a trailer.
FY 2012,8/11/12,8/6/12,AAW Services, Seminole,TX,79360,,,Worker died after being pinned beneath an ATV he was operating.
FY 2012,2/11/12,2/2/12,Guerrero's Dry Wall, Amarillo,TX,79419,,,Worker using ladder to apply texture to drywall died after falling 10 feet and landing on his head.
FY 2012,8/25/12,8/15/12,GEM Drilling, Aspermont,TX,79502,,,Worker died after falling backwards while on the drillling floor of a rig.
FY 2012,5/19/12,5/13/12,Downtown Design Services Inc., Hawley,TX,79525,,,Worker surveying a pipeline was electrocuted when the antenna he was using touched an overhead power line.
FY 2012,8/4/12,7/31/12,Texas TST Inc., Sweetwater,TX,79556,,,Worker at a metals refinery plant collapsed and died from possible heat stress.
FY 2012,5/19/12,5/9/12,Arca Trucking Services LLC, Midland,TX,79706,,,Worker inside the cab of a truck fuel tank being welded to patch a leak was killed when the tank ignited and exploded.
FY 2012,7/7/12,7/1/12,Thornton Drilling Company, Andrews,TX,79714,,,Worker power washing a water tank was electrocuted when the power cords arced.
FY 2012,8/11/12,5/24/12,Bird Ranch, Andrews,TX,79714,,,Worker checking windmills died after falling from structure.
FY 2012,4/14/12,4/11/12,One Source Industrial, Big Spring,TX,79720,,,Worker was struck and killed by a train while driving a vacuum truck across railroad tracks.
FY 2012,9/22/12,9/21/12,United Drilling Inc, Fort Stockton,TX,79735,,,Worker was killed after being struck in the head by a cable that snapped during drilling operations.
FY 2012,9/29/12,9/21/12,United Drilling Inc, Fort Stockton,TX,79735,,,Worker was killed after being struck in the head by a cable that snapped during drilling operations.
FY 2012,2/25/12,2/7/12,Great White Pressure Pumping, Garden City,TX,79739,,,Worker performing pre-fracking operations was struck and killed when a pipe exploded under pressure.
FY 2012,6/2/12,5/31/12,Reeco Well Services, Mentone,TX,79754,,,Worker for an oil and gas producer was killed after being struck on the back by a block while working on a rig floor.
FY 2012,7/14/12,7/11/12,Joyce Fisher Limited Partnership, Mentone,TX,79754,,,Worker loading a machine into the bucket of a backhoe died after being caught between the backhoe's bucket and the outrigger.
FY 2012,5/19/12,5/16/12,Circle C, Odessa,TX,79763,,,Worker extracting water from a well was found dead inside well.
FY 2012,3/3/12,2/29/12,Elite Pipeline Services, Odessa,TX,79764,,,Four workers were hospitalized when a flash fire occurred while they cut bolts off an abandoned pipeline.
FY 2012,9/22/12,9/27/12,Viking Drilling, Rankin,TX,79778,,,Employee was electrocuted when the forklift he was operating became entangled with a 440-480 volt electrical line.
FY 2012,9/29/12,9/27/12,Viking Drilling, Rankin,TX,79778,,,Employee was electrocuted when the forklift he was operating became entangled with a 440-480 volt electrical line.
FY 2012,7/14/12,7/6/12,Customs and Border Protection, Fort Hancock,TX,79839,,,"Worker operating an all-terrain vehicle was crushed when the vehicle rolled down an embankment, landing on top of him."
FY 2012,3/31/12,3/23/12,Burton Hydro-Vac, El Paso,TX,79905,,,Worker using a vacuum truck to remove water from a hole died after a pipe came loose and hit his head.
FY 2012,8/25/12,8/22/12,Texas Concrete and Asphalt, El Paso,TX,79932,,,Worker repaving highway ramp died after being struck by vehicle
FY 2012,8/25/12,7/12/12,Adonis Bronze, Alpine,UT,84004,,,Worker for a bronze foundry was killed when struck by a pressure vessel door.
FY 2012,4/21/12,4/18/12,Hansen Design Specialty Flooring Inc., Draper,UT,84020,,,Worker was struck and killed by a vehicle while performing maintenance in a storm drain.
FY 2012,11/12/11,10/26/11,Dennis Stearns Concrete, Vernal,UT,84078,,,Worker lifting a 21-foot pipe died from head trauma after the pipe fell and hit his head.
FY 2012,3/31/12,3/23/12,Cambelt International, Salt Lake City,UT,84104,,,Worker was crushed between the hydraulic ram and bullister of a press during maintenance operations.
FY 2012,8/18/12,1/25/12,RH Construction Inc., Salt Lake City,UT,84108,,,Three workers were hospitalized after they were injured by a partially collapsed roof.
FY 2012,12/17/11,12/2/11,Compeq International Corp., Salt Lake City,UT,84116,,,"Worker died after falling 12 feet from an unsecured ladder while cutting into a 5,000-gallon tank."
FY 2012,5/12/12,5/6/12,The Teaching Company Sales LLC, Chantilly,VA,20151,,,"Worker was operating a stand-up lift truck when the top of the mast struck an iron beam over the doorway. The force of the impact caused the worker to be thrown from the truck, and the beam to become dislodged and strike the worker on the head."
FY 2012,6/30/12,6/19/12,Grass Choppers, Purcellville,VA,22132,,,Worker operating a lawnmower died when the mower rolled down an enbankment and landed on top of him in a creek.
FY 2012,9/8/12,9/5/12,M&C Electrical, Arlington,VA,22201,,,Worker was electrocuted while installing a conduit.
FY 2012,3/31/12,3/29/12,Tech Systems Contracting, Hayes,VA,23072,,,Worker performing electrical prep work from a ladder died after falling and hitting his head on concrete floor.
FY 2012,9/8/12,8/29/12,Home Crafters of Tidewater, Suffolk,VA,23435,,,Worker erecting a pump jack scaffold system was electrocuted when the pole he was using contacted a power line.
FY 2012,9/8/12,9/4/12,Glass Machinery and Excavation, Clintwood,VA,24228,,,Roadway worker flagging traffic was struck and killed by 18-wheel truck.
FY 2012,2/11/12,2/8/12,Boneville Group Virgin Islands, Frederiksted,VI,840,,,Worker installing telecommunication cables near a main road was struck and killed by a moving vehicle.
FY 2012,3/31/12,2/15/12,Mad River Glen Ski Area, Waitsfield,VT,,,,A ski instructor at a ski resort died after becoming stuck in a wall opening.
FY 2012,7/28/12,7/22/12,HIMR Inc., Plymouth,VT,5056,,,Worker died in water while working on a floating trampoline.
FY 2012,3/31/12,3/21/12,Vermont Electric Cooperative Inc., Johnson,VT,5656,,,Worker trimming trees was electrocuted after touching a live conductor.
FY 2012,5/26/12,4/25/12,Adirondack Utility Construction Inc., Middletown Springs,VT,5757,,,"Utility worker installing telecommunications lines from inside a steel bucket was electrocuted when the bucket truck contacted a 7,200-volt power line."
FY 2012,6/23/12,6/15/12,Seattle Mechanical, Auburn,WA,98001,,,Worker servicing a HVAC unit on a building roof died after falling through an unguarded skylight.
FY 2012,11/19/11,11/1/11,Cenveo West Inc., Kent,WA,98032,,,Worker died from head trauma after falling while climbing pallet racks to pick orders of envelopes.
FY 2012,11/19/11,11/6/11,Dick's Drive In, Seattle,WA,98109,,,Janitor fell and struck head.
FY 2012,5/19/12,5/17/12,SSA Marine Inc., Seattle,WA,98134,,,Worker was caught-in-between forklift and forklift's overhead protection after climbing over steering wheel and inadvertently activating controls.
FY 2012,11/19/11,10/31/11,Irving Diedrich Construction, Chehalis,WA,98223,,,Worker repairing a dry-rotted roof died when he fell 30 feet through a hole.
FY 2012,7/28/12,7/23/12,Janicki Logging and Construction Co. Inc., Darrington,WA,98272,,,Worker performing logging operations was crushed between a carriage and log.
FY 2012,2/25/12,2/19/12,Stevens Pass Mountain Resort, Skyomish,WA,98288,,,Worker participating in a video shoot at a ski resort was killed during an avalanche.
FY 2012,12/17/11,12/13/11,Hampton Lumber Mills - Washington, Morton,WA,98356,,,Worker was found crushed on a conveyor belt.
FY 2012,2/4/12,1/23/12,Justice Construction LLC, Orting,WA,98360,,,Worker died from a head injury while cutting fallen trees and tree limbs.
FY 2012,6/30/12,6/21/12,National Park Service Paradise Station, Longmire,WA,98397,,,"National parks service worker attempting to rescue climbers was killed after falling 3,000 feet down a mountain."
FY 2012,1/14/12,1/5/12,Novirtus Transport, Tacoma,WA,98421,,,Worker was killed after being caught between a truck's driveshaft.
FY 2012,5/26/12,5/5/12,Americold Logistics LLC, Tacoma,WA,98424,,,Warehouse worker stranded on a platform 35 feet high after his forklift malfunctioned died when he fell from another forklift used to rescue him.
FY 2012,9/8/12,9/3/12,Bravo Environmental NW Inc., McKenna,WA,98580,,,Worker was killed in motor vehicle accident due to weather conditions.
FY 2012,9/8/12,8/20/12,Hubster Logging Inc., Ryderwood,WA,98581,,,"Worker was struck by a haywire and was hospitalized, treated, and released. Several days later worker was found dead at home due to complications resulting from incident."
FY 2012,9/1/12,8/15/12,J&J Trucking, Vancouver,WA,98660,,,Worker driving a loaded gravel truck was killed when the brakes failed causing vehicle to strike trees.
FY 2012,7/28/12,7/23/12,Chemi Con Materials Corporation, Moses Lake,WA,98837,,,Worker removing a pump from a tank containing 180-degree boric acid died from burns when the acid spilled on him.
FY 2012,2/11/12,2/8/12,2 Rivers LLC, Moses Lake,WA,98937,,,Worker was crushed when a portion of an ecology wall fell.
FY 2012,7/7/12,7/7/12,Consolidated Fruit LLC, Wapato,WA,98951,,,Worker operating a forklift was crushed when the vehicle went off the side of the road and tipped over.
FY 2012,7/7/12,7/4/12,Chief Orchards Packing and Storage, Wapato,WA,989510,,,Worker checking the pressure of jets on a sprayer tank was killed after being struck by the tank.
FY 2012,3/24/12,2/14/12,Richard Knight, White Swan,WA,98952,,,Worker was struck and killed by a large alfalfa bale.
FY 2012,9/1/12,8/25/12,ZIA Construction and Contracting Inc., Cheney,WA,99004,,,Worker sheeting the roof on a two-story building suffered fatal head injuries after falling 21 feet to the ground.
FY 2012,2/11/12,1/13/12,Spokane Sheriff's Department, Spokane,WA,99206,,,Worker sustained a head injury after tripping on a curb while performing traffic control. Worker succumbed to this injury 1/29/2012.
FY 2012,3/24/12,2/4/12,Conagra Foods Lamb Weston Inc., Connell,WA,99326,,,Worker at a frozen food manufacturing facility died after performing waste water treatment operations.
FY 2012,9/8/12,9/5/12,MWR Riverside Orchards LLC, Eltopia,WA,99330,,,Worker changing irrigation pipes was electrocuted after the pipe contacted power lines.
FY 2012,1/28/12,1/5/12,All Pro Contracting Inc., Kennewick,WA,99336,,,Worker fell while standing on a beam without fall protection.
FY 2012,9/15/12,8/17/12,Evan F. Hamilton, Prosser,WA,99350,,,Worker struck and killed by a grain harvesting machine.
FY 2012,8/18/12,8/6/12,Sanders Painting & Decorating, Kenosha,WI,,,,"Worker performing outside painting activities died from a heart attack, possibly heat-related."
FY 2012,9/15/12,9/10/12,Willman Industries Inc., Cedar Grove,WI,53013,,,Employee was crushed after being caught in a molding machine.
FY 2012,9/15/12,9/5/12,Pentair, Brookfield,WI,53045,,,Employee died from a head injury after falling from a chair.
FY 2012,12/3/11,11/28/11,Vivid Image, Theresa,WI,53091,,,Worker died after being exposed to a chemical following a chemical spill.
FY 2012,2/4/12,1/27/12,Esquire Construction LTD, Mequon,WI,53092,,,Worker died after falling off of a roof.
FY 2012,11/26/11,11/23/11,Javco Trailer Sales Inc., Franksville,WI,53126,,,Worker was checking numbers on a trailer and was crushed between two trailers.
FY 2012,7/28/12,7/3/12,Krause Building LLC, Lake Geneva,WI,53147,,,Worker installing a roof died after falling 25 feet to the ground.
FY 2012,8/4/12,8/2/12,TCI LLC, Milwaukee,WI,53224,,,Worker was shot and killed by a disgruntled employee.
FY 2012,3/17/12,3/12/12,Children's Hospital & Health System, Milwaukee,WI,53226,,,A housekeeping employee was found on the bathroom floor: possible heart attack.
FY 2012,8/4/12,8/1/12,Spacesaver Corporation, Fort Akinson,WI,53538,,,Worker was crushed by falling sheet metal.
FY 2012,12/31/11,12/25/11,Cardinal FG Company, Portage,WI,53901,,,Worker was crushed by a glass plate that fell on him while unloading.
FY 2012,11/12/11,11/8/11,Brillion Iron Works, Brillion,WI,54110,,,Worker adjusting a limit switch on a molding machine died after he was struck by the machine and fell 6 feet to the floor.
FY 2012,4/21/12,4/20/12,Lunda Construction Company, De Pere,WI,54115,,,Worker connecting a boom to a crane was killed after the crane's arm fell on him.
FY 2012,6/2/12,5/31/12,Steel Structures Inc., Wausau,WI,54401,,,"Worker standing inside a forklift bucket to change a ceiling light was killed when the forklift rolled, causing him to fall to the floor."
FY 2012,7/21/12,7/17/12,Inland Systems Incorporated, Tomahawk,WI,54487,,,Worker cleaning an ash silo died from burns received by flying ash.
FY 2012,12/17/11,12/14/11,Conway Auto Service, La Crosse,WI,54601,,,Worker was working on a vehicle that fell from the hydraulic in ground two post lift.
FY 2012,12/17/11,12/9/11,VPP Group, Norwalk,WI,54648,,,Worker removing a water line on a kill floor was electrocuted after touching energized parts.
FY 2012,2/4/12,1/30/12,Sutten Pulp Cutting, Cornell,WI,54732,,,Worker was struck and killed by a log skidder as it rolled down a hill.
FY 2012,11/5/11,11/3/11,Gordys Pump Service, Spring Valley,WI,54767,,,Worker connecting a newly installed pipe line inside of a trench died when the trench caved in.
FY 2012,2/4/12,1/30/12,Mahr City View Dairy Inc., Stanley,WI,54768,,,"Worker was herding and was exposed to animal interaction hazards, possible heart attack or animal contact."
FY 2012,5/26/12,5/17/12,Priemo Homes, Siren,WI,54872,,,Worker performing roofing activities died after collapsing on the roof.
FY 2012,7/14/12,7/5/12,Spancrete, Oshkosh,WI,54901,,,Worker was struck and killed by a crane boom.
FY 2012,7/14/12,7/10/12,State Farm, Oshkosh,WI,54904,,,"Worker fell off an extension ladder, suffering fatal head trauma."
FY 2012,8/11/12,8/7/12,ACH Foam Technologies, Fon Du Lac,WI,54937,,,Worker died from severe abdominal injuries after being crushed by a pneumatic door.
FY 2012,7/14/12,7/3/12,Laning's Dairy Supply, Rosendale,WI,54974,,,"Worker installing a cattle spraying apparatus was struck by a cattle gate carriage, pinning worker between the carriage and a post."
FY 2012,5/12/12,3/5/12,Conn-Weld Industries Inc., Princeton,WV,24740,,,Worker died from burns suffered after a blasting machine caught fire.
FY 2012,3/24/12,3/20/12,D & K Logging Inc., Danville,WV,25053,,,Worker trimming an oak tree was killed when another uprooted tree fell on him.
FY 2012,7/7/12,6/25/12,A C & S Inc., Nitro,WV,25143,,,Worker using a supply air hood to perform sandblast operations died from asphyxiation when the air hood was wrongfully connected to a nitrogen line.
FY 2012,2/18/12,2/16/12,U.S. Department of Labor -Harpers Ferry Job Corp., Harpers Ferry,WV,25425,,,Worker fell to the floor.
FY 2012,8/4/12,7/31/12,Eastern Arrow Corporation Inc., Logan,WV,25601,,,Worker cutting down trees collapsed and died from a possible heat stroke.
FY 2012,3/3/12,2/28/12,Graftech International, Anmoore,WV,26323,,,Worker died from abdominal wounds when a part from a metal-cutting machine struck him.
FY 2012,5/19/12,5/14/12,Preston Memorial Hospital, Kingwood,WV,26537,,,Worker was killed after being struck by an elevator inside a hospital elevator shaft.
FY 2012,9/1/12,8/21/12,Baker Hughes, Casper,WY,82601,,,"Worker at a chemical products warehouse was crushed under a 4,000-pound storage container."
FY 2012,11/26/11,2/2/11,SST Energy Corporation, Douglas,WY,82633,,,"Worker died when the assist device on a derrick ladder failed, causing him to fall approximately 70 feet."
FY 2012,9/1/12,8/20/12,COP Wyoming LLC, Sheridan,WY,82801,,,Worker was struck and killed by the bucket of a backhoe while inside a trench box.
FY 2012,1/21/12,1/9/12,Wardcraft Homes, Moose,WY,83012,,,Worker fell 15 feet while dismantling a make-shift scaffold.
FY 2012,9/29/12,9/11/12,Desert Rose Golf Course Las Vegas,,NV,89142,,,Worker was operating a front end loader to spread dirt in the wash and was unexpectedly swept away by a wall of water flowing at approximately 65-70 MPH. Worker's body was found on 9/14/2012.
FY 2012,9/8/12,9/3/12,Sonoco Hartville,,SC,29550,,,Worker at a packaging products facility died after being caught between two rolling parts of a paper machine.
FY 2012,9/8/12,8/27/12,H&W Logging, Tazewell ,VA,24651,,,Worker was killed after being run over by a skidder machine.
FY 2012,7/21/12,7/19/12,Rafael Esparza Germantown,,TN,38139,,,Worker died after falling 13 feet from a roof while tossing materials to wheel a barrow.
FY 2012,7/14/12,7/13/12,Dillard Smith Crossville,,TN,38572,,,Worker replacing broken electric poles was electrocuted after touching a live power line.
